customer_id,age,gender,item_purchased,category,purchase_amount_(usd),location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,customer_value,loyal_customer,estimated_revenue
2701,22,Female,T-shirt,Clothing,68.0,California,XL,Olive,Winter,3.2,No,Standard,No,36.0,Cash,Weekly,Medium Value,True,2448.0
521,51,Male,Sunglasses,Accessories,84.0,South Carolina,M,White,Spring,3.9,Yes,Free Shipping,Yes,20.0,Debit Card,Quarterly,High Value,False,1680.0
3157,18,Female,Shirt,Clothing,50.0,Montana,M,Black,Winter,3.1,No,2-Day Shipping,No,18.0,Cash,Monthly,Low Value,False,900.0
1687,22,Male,Gloves,Accessories,75.0,Illinois,L,Red,Fall,4.2,No,Store Pickup,No,25.0,Cash,Annually,High Value,False,1875.0
2929,40,Female,Jewelry,Accessories,80.0,Alabama,L,Yellow,Spring,3.6,No,Store Pickup,No,17.0,Credit Card,Weekly,High Value,False,1360.0
3583,23,Female,Shorts,Clothing,41.0,California,S,Beige,Summer,3.4,No,2-Day Shipping,No,15.0,Paypal,Annually,Low Value,False,615.0
1135,62,Male,T-shirt,Clothing,81.0,Wisconsin,M,Brown,Summer,3.7,No,Express,Yes,2.0,Venmo,Every 3 Months,High Value,False,162.0
1411,61,Male,Hat,Accessories,93.0,Tennessee,M,Purple,Summer,4.0,No,Store Pickup,Yes,18.0,Debit Card,Annually,High Value,False,1674.0
113,37,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,28.0,Paypal,Bi-Weekly,Medium Value,True,1820.0
166,42,Male,Handbag,Accessories,60.0,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,7.0,Cash,Monthly,Medium Value,False,420.0
4568,35,Other,Shoes,Clothing,65.0,Phoenix,M,Blue,Autumn,3.7,No,Express,Yes,41.0,Credit Card,Monthly,Medium Value,True,2665.0
947,46,Male,Coat,Outerwear,24.0,Pennsylvania,XL,Blue,Spring,2.8,Yes,Next Day Air,Yes,4.0,Paypal,Quarterly,Low Value,False,96.0
3855,57,Female,T-shirt,Clothing,20.0,Florida,M,Black,Spring,4.2,No,Free Shipping,No,4.0,Venmo,Annually,Low Value,False,80.0
481,68,Male,Hoodie,Clothing,88.0,Vermont,M,Gray,Summer,4.8,Yes,Standard,Yes,30.0,Debit Card,Bi-Weekly,High Value,True,2640.0
3790,56,Female,Shirt,Clothing,75.0,North Dakota,M,Magenta,Summer,3.8,No,Express,No,18.0,Bank Transfer,Every 3 Months,High Value,False,1350.0
3617,42,Female,Hoodie,Clothing,23.0,Wisconsin,L,Purple,Winter,3.3,No,Store Pickup,No,33.0,Debit Card,Fortnightly,Low Value,True,759.0
2659,52,Female,Handbag,Accessories,47.0,Ohio,XL,Indigo,Summer,3.2,No,Next Day Air,No,39.0,Paypal,Monthly,Low Value,True,1833.0
3725,30,Female,Gloves,Accessories,71.0,Colorado,L,Green,Winter,3.1,No,Express,No,18.0,Bank Transfer,Annually,High Value,False,1278.0
2134,21,Male,Hat,Accessories,34.0,Maine,M,Olive,Summer,3.8,No,Standard,No,13.0,Bank Transfer,Annually,Low Value,False,442.0
4256,70,Male,Phone,Electronics,65.0,Los Angeles,M,Green,Autumn,3.7,Yes,Standard,Yes,25.0,Cash,Weekly,Medium Value,False,1625.0
833,58,Male,Jacket,Outerwear,80.0,California,L,Blue,Fall,2.5,Yes,Express,Yes,28.0,Cash,Bi-Weekly,High Value,True,2240.0
1106,33,Male,T-shirt,Clothing,83.0,Massachusetts,S,Olive,Spring,3.0,No,Next Day Air,Yes,6.0,Venmo,Every 3 Months,High Value,False,498.0
3047,60,Female,Shoes,Footwear,49.0,Pennsylvania,M,White,Spring,3.2,No,Store Pickup,No,25.0,Cash,Every 3 Months,Low Value,False,1225.0
1612,41,Male,Pants,Clothing,26.0,Arkansas,L,Yellow,Winter,4.5,No,Next Day Air,Yes,6.0,Debit Card,Monthly,Low Value,False,156.0
3552,66,Female,Gloves,Accessories,31.0,Montana,L,Black,Spring,2.6,No,Store Pickup,No,20.0,Venmo,Weekly,Low Value,False,620.0
2918,58,Female,Shirt,Clothing,45.0,Colorado,XL,White,Winter,2.9,No,Store Pickup,No,50.0,Venmo,Annually,Low Value,True,2250.0
1192,34,Male,T-shirt,Clothing,70.0,Indiana,L,Charcoal,Winter,4.1,No,Free Shipping,Yes,50.0,Venmo,Quarterly,Medium Value,True,3500.0
1907,23,Male,Backpack,Accessories,30.0,Vermont,M,Green,Spring,4.6,No,2-Day Shipping,No,24.0,Paypal,Fortnightly,Low Value,False,720.0
1332,38,Male,Socks,Clothing,91.0,Maryland,M,Lavender,Spring,3.2,No,Standard,Yes,8.0,Paypal,Bi-Weekly,High Value,False,728.0
316,66,Male,Jewelry,Accessories,24.0,Wisconsin,XL,Orange,Spring,4.5,Yes,Express,Yes,24.0,Debit Card,Annually,Low Value,False,576.0
347,49,Male,Jeans,Clothing,50.0,New Mexico,L,Violet,Spring,4.7,Yes,Next Day Air,Yes,5.0,Cash,Weekly,Low Value,False,250.0
3115,21,Female,Handbag,Accessories,56.0,Arkansas,M,Olive,Spring,4.7,No,Store Pickup,No,45.0,Venmo,Bi-Weekly,Medium Value,True,2520.0
5042,46,Other,Bag,Clothing,65.0,Los Angeles,M,White,Summer,3.7,Yes,Express,No,31.0,Paypal,Monthly,Medium Value,True,2015.0
1498,69,Male,Jacket,Outerwear,33.0,Michigan,S,Magenta,Spring,3.8,No,2-Day Shipping,Yes,16.0,Debit Card,Every 3 Months,Low Value,False,528.0
1606,70,Male,Belt,Accessories,46.0,Connecticut,M,Lavender,Winter,3.4,No,Next Day Air,Yes,15.0,Credit Card,Bi-Weekly,Low Value,False,690.0
4418,67,Female,Watch,Electronics,65.0,Los Angeles,M,Red,Autumn,3.7,No,Express,No,47.0,Paypal,Quarterly,Medium Value,True,3055.0
4894,24,Other,Bag,Accessories,65.0,Los Angeles,L,Red,Spring,3.7,No,Standard,No,4.0,Paypal,Quarterly,Medium Value,False,260.0
4576,65,Male,Headphones,Accessories,65.0,New York,S,Black,Summer,3.7,No,Standard,Yes,47.0,Cash,Weekly,Medium Value,True,3055.0
2486,43,Male,Blouse,Clothing,55.0,Louisiana,M,Beige,Spring,4.6,No,2-Day Shipping,No,37.0,Bank Transfer,Annually,Medium Value,True,2035.0
187,39,Male,Backpack,Accessories,56.0,Minnesota,S,Lavender,Summer,2.9,Yes,Standard,Yes,31.0,Debit Card,Annually,Medium Value,True,1736.0
275,59,Male,Jewelry,Accessories,32.0,Maryland,M,Indigo,Spring,3.0,Yes,Express,Yes,28.0,Cash,Bi-Weekly,Low Value,True,896.0
1402,23,Male,Sandals,Footwear,59.0,Indiana,M,Blue,Fall,3.5,No,2-Day Shipping,Yes,1.0,Paypal,Weekly,Medium Value,False,59.0
